Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
ARTS & ENTERTAINMENT,7/13/2021 0:19,:30,0,13.65,0,How Does Your Credit Grow 30,Intervention,Documentary / drugs / health / reality,Dual,National,LOC,33477224
DISCOVERY CHANNEL,7/13/2021 0:30,:30,85,26.6,3.195488722,Open Sesame 30,Air Jaws: Going for Gold,animals / Documentary / wildlife,Dual,National,LOC,33477213
DIRECTV SPORTS CLUSTER,7/13/2021 0:47,:30,765,55,13.90909091,How Does Your Credit Grow 30,,,Live,National,,33477218
INDEPENDENT FILM CHANNEL,7/13/2021 0:56,:30,144.5,30,4.816666667,How Does Your Credit Grow 30,Two and a Half Men,Comedy / dating / divorce / family / satire / season copy / Sitcom / troubled relationships,Dual,National,LOC,33477217
MTV:  MUSIC TELEVISION,7/13/2021 1:17,:30,106.25,18,5.902777778,Open Sesame 30,Ridiculousness,Comedy / entertainment / internet,Dual,National,LOC,33477216
ADULT SWIM,7/13/2021 1:28,:30,170,35.4,4.802259887,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33477215
TURNER NETWORK TELEVISION,7/13/2021 1:44,:30,2337.5,106,22.05188679,How Does Your Credit Grow 30,Solo: A Star Wars Story,action/adventure / sci-fi / spin-off,Dual,National,,33477210
TURNER NETWORK TELEVISION,7/13/2021 2:34,:30,2337.5,61,38.31967213,Open Sesame 30,Arrow,action/adventure / adaptation / crime / crime drama / fantasy / season copy,Dual,National,,33477211
DISCOVERY CHANNEL,7/13/2021 2:44,:30,85,16.6,5.120481928,How Does Your Credit Grow 30,Expedition Unknown: Shark Trek,animals / Documentary / other / wildlife,Dual,National,LOC,33477212
DISCOVERY CHANNEL,7/13/2021 3:32,:30,85,13,6.538461538,Open Sesame 30,Josh Gates Tonight,Science / talk / Technology,Dual,National,LOC,33477214
WEATHER CHANNEL,7/13/2021 3:53,:30,0,16,0,Open Sesame 30,So You Think You'd Survive?,Documentary / nature / Weather,Live,National,,33477225
FOX NEWS CHANNEL,7/12/2021 7:20,:30,403.75,34.8,11.60201149,How Does Your Credit Grow 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33469184
WEATHER CHANNEL,7/12/2021 9:46,:30,63.75,9.2,6.929347826,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33469185
WE TV,7/12/2021 12:41,:30,136,19.2,7.083333333,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33469183
WEATHER CHANNEL,7/12/2021 16:17,:30,42.5,13.2,3.21969697,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33469187
ANIMAL PLANET,7/12/2021 16:40,:30,127.5,11.7,10.8974359,How Does Your Credit Grow 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33469179
TBS SUPERSTATION,7/12/2021 18:14,:15,3400,229,14.84716157,How Does Your Credit Grow 15,Family Guy,animated comedy / cartoon / cult classic / Sitcom,Dual,National,,33469173
QUEST,7/12/2021 18:25,:30,85,,,How Does Your Credit Grow 30,Ice Road Truckers,action/adventure / entertainment / environment / nature / outdoors / reality / suspense/thriller / wealth,Live,National,,33467997
ANIMAL PLANET,7/12/2021 18:39,:30,127.5,23.4,5.448717949,Open Sesame 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33469181
DIRECTV SPORTS CLUSTER,7/12/2021 18:48,:30,1190,72.8,16.34615385,Open Sesame 30,,,Live,National,,33469188
ANIMAL PLANET,7/12/2021 19:12,:30,127.5,32.1,3.971962617,How Does Your Credit Grow 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33469180
ANIMAL PLANET,7/12/2021 19:39,:30,127.5,23.7,5.379746835,Open Sesame 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33469182
Court TV Mystery,7/12/2021 20:15,:30,170,66,2.575757576,How Does Your Credit Grow 30,CSI: Crime Scene Investigation,action/adventure / crime / crime drama / drama / police / season copy / suspense/thriller,Live,National,,33469174
ARTS & ENTERTAINMENT,7/12/2021 20:16,:30,365.5,16.8,21.75595238,How Does Your Credit Grow 30,Intervention,Documentary / drugs / health / reality,Dual,National,LOC,33469178
ADULT SWIM,7/12/2021 20:58,:30,340,33.8,10.0591716,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33469177
Court TV Mystery,7/12/2021 21:41,:30,170,60,2.833333333,Open Sesame 30,CSI: Crime Scene Investigation,action/adventure / crime / crime drama / drama / part info in copy / police / season copy / suspense/thriller,Live,National,,33469175
DISCOVERY CHANNEL,7/12/2021 22:56,:30,255,86.6,2.944572748,How Does Your Credit Grow 30,Expedition Unknown: Shark Trek,animals / Documentary / other / wildlife,Dual,National,LOC,33469176
QUEST,7/12/2021 23:15,:30,85,,,Open Sesame 30,Doomsday Preppers,Documentary / reality,Live,National,,33474346
QUEST,7/12/2021 23:51,:30,85,,,How Does Your Credit Grow 30,Doomsday Preppers,Documentary / reality,Live,National,,33474347
WEATHER CHANNEL,7/12/2021 23:51,:30,72.25,10.8,6.689814815,Open Sesame 30,Storm Stories: The Next Chapter,Documentary / Weather,Live,National,LOC,33469186
INDEPENDENT FILM CHANNEL,7/14/2021 0:57,:30,144.5,9,16.05555556,Open Sesame 30,Robin Hood: Men in Tights,action/adventure / Comedy / costumer / modernized copy / public affairs,Dual,National,LOC,33486785
ADULT SWIM,7/14/2021 0:59,:30,170,40,4.25,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33486783
MTV:  MUSIC TELEVISION,7/14/2021 1:46,:30,106.25,16.8,6.324404762,How Does Your Credit Grow 30,Ridiculousness,Comedy / compilation / entertainment / internet / reality,Dual,National,LOC,33486784
ARTS & ENTERTAINMENT,7/14/2021 3:48,:30,0,2.4,0,Open Sesame 30,Storage Wars,auction / business / entertainment / other / reality / serial,Dual,National,LOC,33486791
FOX NEWS CHANNEL,7/13/2021 6:13,:30,403.75,24.6,16.41260163,Open Sesame 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33479061
WEATHER CHANNEL,7/13/2021 7:17,:30,63.75,7.6,8.388157895,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33479062
WEATHER CHANNEL,7/13/2021 12:17,:30,42.5,2.4,17.70833333,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33479063
ANIMAL PLANET,7/13/2021 16:13,:30,127.5,15.6,8.173076923,How Does Your Credit Grow 30,North Woods Law,animals / outdoors / reality / season copy,Dual,National,LOC,33479054
WE TV,7/13/2021 16:37,:30,157.25,25.2,6.240079365,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33479056
WE TV,7/13/2021 17:17,:30,157.25,32,4.9140625,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33479055
WE TV,7/13/2021 18:16,:30,212.5,46.4,4.579741379,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33479058
TBS SUPERSTATION,7/13/2021 18:24,:15,3400,182,18.68131868,Open Sesame 15,Family Guy,animated comedy / cartoon / cult classic / satire / season copy / Sitcom,Dual,National,,33479048
TURNER NETWORK TELEVISION,7/13/2021 19:06,:15,3825,182,21.01648352,How Does Your Credit Grow 15,Hercules,action/adventure / drama / fantasy / war,Dual,National,,33479064
FX NETWORK,7/13/2021 19:07,:30,3612.5,176,20.52556818,How Does Your Credit Grow 30,Bohemian Rhapsody,Biography / drama / Music / musical / profile,Dual,National,,33479060
NATIONAL GEOGRAPHIC CHANNEL,7/13/2021 19:21,:30,106.25,33,3.21969697,How Does Your Credit Grow 30,When Sharks Attack,animals / Documentary / environment / nature / wildlife,Dual,National,LOC,33479052
WE TV,7/13/2021 19:41,:30,212.5,27.2,7.8125,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33479057
Court TV Mystery,7/13/2021 20:39,:30,170,50,3.4,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Live,National,,33479049
WE TV,7/13/2021 20:40,:30,212.5,41.2,5.15776699,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33479059
ADULT SWIM,7/13/2021 20:58,:30,340,30.6,11.11111111,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33479051
QUEST,7/13/2021 21:39,:30,85,,,Open Sesame 30,Yukon Gold,outdoors / reality / season premiere,Live,National,,33477307
QUEST,7/13/2021 22:14,:30,85,,,How Does Your Credit Grow 30,Doomsday Preppers,Documentary / reality,Live,National,,33477306
Court TV Mystery,7/13/2021 22:43,:30,170,40,4.25,Open Sesame 30,The First 48,crime / Documentary / police,Live,National,,33479050
QUEST,7/13/2021 23:24,:30,85,,,Open Sesame 30,Doomsday Preppers,Documentary / reality,Live,National,,33477308
TURNER NETWORK TELEVISION,7/13/2021 23:44,:15,3825,166,23.04216867,Open Sesame 15,Titans,action/adventure / adaptation / comic books / drama / fantasy / season copy / season premiere / series premiere / superheroes / web content,Dual,National,,33479065
ARTS & ENTERTAINMENT,7/13/2021 23:49,:30,365.5,13.35,27.37827715,Open Sesame 30,Storage Wars,auction / business / entertainment / other / reality / serial,Dual,National,LOC,33479053
ARTS & ENTERTAINMENT,7/15/2021 1:19,:30,0,18.45,0,How Does Your Credit Grow 30,Court Cam,courtroom / crime / Documentary / legal / reality,Dual,National,LOC,33498707
COMEDY CENTRAL,7/15/2021 1:32,:30,1445,115,12.56521739,How Does Your Credit Grow 30,South Park,animated comedy / cartoon / Comedy / satire,Live,National,,33498699
COMEDY CENTRAL,7/15/2021 1:53,:30,1445,115,12.56521739,Open Sesame 30,South Park,animated comedy / cartoon / Comedy / satire,Live,National,,33498700
WEATHER CHANNEL,7/15/2021 2:53,:30,0,4.8,0,How Does Your Credit Grow 30,Why Planes Crash,aviation / Documentary,Live,National,LOC,33498703
ADULT SWIM,7/15/2021 2:58,:30,170,30.2,5.629139073,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33498698
WEATHER CHANNEL,7/14/2021 7:46,:30,63.75,4,15.9375,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33489244
WEATHER CHANNEL,7/14/2021 14:47,:30,42.5,3.6,11.80555556,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33489246
NATIONAL GEOGRAPHIC CHANNEL,7/14/2021 18:22,:30,106.25,56.5,1.880530973,Open Sesame 30,When Sharks Attack: Extra Bite,animals / Documentary / wildlife,Dual,National,LOC,33489241
AMERICAN MOVIE CLASSICS,7/14/2021 19:05,:30,153,23.8,6.428571429,How Does Your Credit Grow 30,To Be Announced,other / to be announced,Dual,National,LOC,33489237
TURNER NETWORK TELEVISION,7/14/2021 19:17,:15,3825,166,23.04216867,How Does Your Credit Grow 15,Ready Player One,action/adventure / adaptation / other / sci-fi,Dual,National,,33489247
DISCOVERY CHANNEL,7/14/2021 20:28,:30,255,68.6,3.717201166,How Does Your Credit Grow 30,Mechashark,animals / nature / wildlife,Dual,National,LOC,33489239
INDEPENDENT FILM CHANNEL,7/14/2021 20:38,:30,144.5,18,8.027777778,How Does Your Credit Grow 30,2012,action/adventure / disaster / drama / entertainment / family / fantasy / modernized copy / sci-fi,Dual,National,LOC,33489243
ARTS & ENTERTAINMENT,7/14/2021 21:16,:30,365.5,44.55,8.204264871,How Does Your Credit Grow 30,Court Cam,courtroom / crime / Documentary / legal / reality,Dual,National,LOC,33489242
Court TV Mystery,7/14/2021 22:16,:30,170,42,4.047619048,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime / crime drama / drama / legal / mystery & suspense / police / season copy / suspense/thriller / troubled relationships / workplace,Live,National,,33489238
TURNER NETWORK TELEVISION,7/14/2021 22:47,:15,3825,119,32.14285714,Open Sesame 15,Animal Kingdom,crime drama / drugs / family issues / organized crime,Dual,National,,33489249
WEATHER CHANNEL,7/14/2021 22:53,:30,72.25,5.2,13.89423077,How Does Your Credit Grow 30,Highway Thru Hell,auto info / Documentary / reality,Live,National,LOC,33489245
QUEST,7/14/2021 23:23,:30,85,,,How Does Your Credit Grow 30,Doomsday Preppers,Documentary / reality,Live,National,,33486868
ADULT SWIM,7/14/2021 23:28,:30,340,58.4,5.821917808,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33489240
TURNER NETWORK TELEVISION,7/14/2021 23:41,:15,3825,105,36.42857143,How Does Your Credit Grow 15,Pacific Rim,action/adventure / disaster / other / sci-fi,Dual,National,,33489248
COMEDY CENTRAL,7/16/2021 0:45,:30,1445,87,16.6091954,How Does Your Credit Grow 30,South Park,animated comedy / cartoon / Comedy / satire,Live,National,,33518172
DIRECTV SPORTS CLUSTER,7/16/2021 0:51,:30,765,51.2,14.94140625,How Does Your Credit Grow 30,,,Live,National,,33518200
WEATHER CHANNEL,7/16/2021 1:21,:30,0,7,0,Open Sesame 30,Weather Gone Viral,Documentary / internet / reality / season finale / Weather,Live,National,,33518218
BLACK ENTERTAINMENT TELEVISION,7/16/2021 1:52,:30,765,66,11.59090909,How Does Your Credit Grow 30,Martin,Comedy / Sitcom,Dual,National,,33518152
NBA TV,7/16/2021 1:56,:30,170,7,24.28571429,Open Sesame 30,NBA Gametime,all-star / basketball / playoffs / preview / pro / sports stuff / timely,Live,National,,33518204
TURNER NETWORK TELEVISION,7/16/2021 2:11,:30,2337.5,107,21.84579439,Open Sesame 30,Castle,Comedy / crime drama / police / season copy,Dual,National,,33518149
ARTS & ENTERTAINMENT,7/16/2021 3:44,:30,0,14.55,0,Open Sesame 30,The First 48,crime / Documentary / police,Dual,National,LOC,33518207
FOX NEWS CHANNEL,7/15/2021 6:52,:30,403.75,25.4,15.89566929,How Does Your Credit Grow 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33498702
WEATHER CHANNEL,7/15/2021 15:46,:30,42.5,12,3.541666667,How Does Your Credit Grow 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33498705
DIRECTV SPORTS CLUSTER,7/15/2021 18:48,:30,1190,50.6,23.51778656,Open Sesame 30,,,Live,National,,33498706
Court TV Mystery,7/15/2021 18:53,:30,170,56,3.035714286,Open Sesame 30,CSI: Miami,crime drama / drama / spin-off,Live,National,,33498693
QUEST,7/15/2021 19:38,:30,85,,,Open Sesame 30,Ice Road Truckers,action/adventure / entertainment / environment / nature / outdoors / reality / suspense/thriller / wealth / Weather,Live,National,,33498708
DISCOVERY CHANNEL,7/15/2021 20:41,:30,255,71.8,3.551532033,Open Sesame 30,Dr. Pimple Popper Pops Shark Week,Documentary / nature / wildlife,Dual,National,LOC,33498695
WEATHER CHANNEL,7/15/2021 20:53,:30,72.25,12.4,5.826612903,Open Sesame 30,Weird Earth,Documentary / environment,Live,National,LOC,33498704
ADULT SWIM,7/15/2021 21:28,:30,340,38,8.947368421,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33498697
DISCOVERY CHANNEL,7/15/2021 21:30,:30,255,69.4,3.674351585,How Does Your Credit Grow 30,Sharkadelic Summer 2,animals / other / wildlife,Dual,National,LOC,33498694
TURNER NETWORK TELEVISION,7/15/2021 23:35,:30,7650,195,39.23076923,How Does Your Credit Grow 30,Get Hard,Comedy / crime,Dual,National,,33498692
DISCOVERY CHANNEL,7/15/2021 23:43,:30,255,49.2,5.182926829,Open Sesame 30,Josh Gates Tonight,Science / talk / Technology,Dual,National,LOC,33498696
ARTS & ENTERTAINMENT,7/15/2021 23:44,:30,365.5,24.6,14.85772358,Open Sesame 30,The First 48,crime / Documentary / police,Dual,National,LOC,33498701
MTV:  MUSIC TELEVISION,7/17/2021 0:17,:30,106.25,22.6,4.701327434,Open Sesame 30,Ridiculousness,Comedy / compilation / entertainment / internet / reality,Dual,National,LOC,33518167
WEATHER CHANNEL,7/17/2021 0:22,:30,0,12,0,How Does Your Credit Grow 30,Tornado Alley,Documentary / Weather,Live,National,LOC,33518190
NBA TV,7/17/2021 1:13,:30,170,8,21.25,How Does Your Credit Grow 30,Women's Basketball,basketball / women,Live,National,,33518203
ARTS & ENTERTAINMENT,7/17/2021 2:15,:30,0,12.45,0,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Dual,National,LOC,33518206
TURNER NETWORK TELEVISION,7/17/2021 2:26,:30,2337.5,130,17.98076923,How Does Your Credit Grow 30,Man of Steel,action/adventure / fantasy / modernized copy / sci-fi,Dual,National,,33518148
BLACK ENTERTAINMENT TELEVISION,7/17/2021 2:39,:30,765,75,10.2,Open Sesame 30,Martin,christmas / Comedy / halloween / kwanzaa / Sitcom / thanksgiving / valentines day,Dual,National,,33518154
WEATHER CHANNEL,7/16/2021 7:45,:30,63.75,10,6.375,Open Sesame 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33518188
WEATHER CHANNEL,7/16/2021 9:17,:30,63.75,10.8,5.902777778,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33518187
WEATHER CHANNEL,7/16/2021 16:17,:30,42.5,2,21.25,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33518193
Court TV Mystery,7/16/2021 20:20,:30,170,69,2.463768116,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Live,National,,33518156
ARTS & ENTERTAINMENT,7/16/2021 22:12,:30,365.5,17.4,21.00574713,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Dual,National,LOC,33518173
TURNER NETWORK TELEVISION,7/16/2021 22:22,:15,3825,266,14.37969925,Open Sesame 15,Man of Steel,action/adventure / fantasy / modernized copy / sci-fi,Dual,National,,33518205
WEATHER CHANNEL,7/16/2021 22:52,:30,72.25,6,12.04166667,How Does Your Credit Grow 30,World's Deadliest Weather,Documentary / nature / Weather,Live,National,LOC,33518189
Court TV Mystery,7/16/2021 23:19,:30,170,33,5.151515152,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Live,National,,33518158
NATIONAL GEOGRAPHIC CHANNEL,7/16/2021 23:42,:30,106.25,53.5,1.985981308,How Does Your Credit Grow 30,When Sharks Attack: Extra Bite,animals / nature / other / wildlife,Dual,National,LOC,33518166
WEATHER CHANNEL,7/18/2021 0:52,:30,0,13.2,0,Open Sesame 30,Highway Thru Hell,auto info / Documentary / reality,Live,National,LOC,33518192
BLACK ENTERTAINMENT TELEVISION,7/18/2021 2:15,:30,765,92,8.315217391,How Does Your Credit Grow 30,The Parkers,Comedy / Sitcom / spin-off,Dual,National,,33518153
ADULT SWIM,7/18/2021 2:29,:30,170,28.2,6.028368794,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33518165
HOME & GARDEN TELEVISION,7/17/2021 8:22,:30,595,15,39.66666667,Open Sesame 30,Unsellable Houses,home & garden / real estate / reality,Dual,National,LOC,33518198
DIRECTV SPORTS CLUSTER,7/17/2021 8:44,:30,850,50.6,16.79841897,Open Sesame 30,,,Live,National,,33518202
DIRECTV SPORTS CLUSTER,7/17/2021 9:43,:30,850,50,17,How Does Your Credit Grow 30,,,Live,National,,33518201
TBD NETWORK,7/17/2021 11:10,:30,106.25,0,,How Does Your Credit Grow 30,,,Dual,National,,33518210
TBD NETWORK,7/17/2021 11:39,:30,106.25,11,9.659090909,Open Sesame 30,,,Dual,National,,33518208
TBD NETWORK,7/17/2021 12:11,:30,106.25,17,6.25,How Does Your Credit Grow 30,,,Dual,National,,33518211
TBD NETWORK,7/17/2021 12:49,:30,106.25,23,4.619565217,Open Sesame 30,,,Dual,National,,33518209
WE TV,7/17/2021 13:24,:30,182.75,35.6,5.133426966,How Does Your Credit Grow 30,Criminal Minds,crime drama / drama / police / suspense/thriller,Dual,National,LOC,33518184
ANIMAL PLANET,7/17/2021 13:36,:30,136,30,4.533333333,How Does Your Credit Grow 30,The Zoo 2,animals / behind-the-scenes / Documentary / environment / reality / season copy / wildlife,Dual,National,LOC,33518181
TBD NETWORK,7/17/2021 14:08,:30,106.25,11,9.659090909,How Does Your Credit Grow 30,,,Dual,National,,33518212
ARTS & ENTERTAINMENT,7/17/2021 15:47,:30,195.5,12.6,15.51587302,How Does Your Credit Grow 30,The Wolverine,action/adventure / adaptation / drama / entertainment / fantasy / sci-fi / sequel,Dual,National,LOC,33518174
TBD NETWORK,7/17/2021 16:38,:30,0,23,0,Open Sesame 30,,,Dual,National,,33518219
HOME & GARDEN TELEVISION,7/17/2021 16:42,:30,680,23,29.56521739,How Does Your Credit Grow 30,Christina on the Coast,decorating / home & garden / home projects / real estate / reality,Dual,National,LOC,33518194
TBD NETWORK,7/17/2021 17:09,:30,0,27,0,How Does Your Credit Grow 30,,,Dual,National,,33518220
Court TV Mystery,7/17/2021 19:05,:30,170,122,1.393442623,How Does Your Credit Grow 30,CSI: Crime Scene Investigation,action/adventure / crime / crime drama / drama / mystery & suspense / season copy / suspense/thriller,Live,National,,33518157
COMEDY CENTRAL,7/17/2021 19:14,:30,2295,166,13.8253012,Open Sesame 30,The Spy Who Dumped Me,action/adventure / Comedy,Live,National,,33518170
ANIMAL PLANET,7/17/2021 19:35,:30,136,17.1,7.953216374,Open Sesame 30,The Zoo,animals / behind-the-scenes / Documentary / environment / season copy / wildlife,Dual,National,LOC,33518183
COMEDY CENTRAL,7/17/2021 19:37,:30,2295,178,12.89325843,How Does Your Credit Grow 30,The Spy Who Dumped Me,action/adventure / Comedy,Live,National,,33518168
COMEDY CENTRAL,7/17/2021 20:08,:30,2295,161,14.25465839,Open Sesame 30,The Spy Who Dumped Me,action/adventure / Comedy,Live,National,,33518171
COMEDY CENTRAL,7/17/2021 20:33,:30,2295,165,13.90909091,How Does Your Credit Grow 30,The Spy Who Dumped Me,action/adventure / Comedy,Live,National,,33518169
ANIMAL PLANET,7/17/2021 20:34,:30,127.5,19.8,6.439393939,Open Sesame 30,The Zoo: Bronx-Sized,animals / Documentary / environment,Dual,National,LOC,33518179
QUEST,7/17/2021 21:32,:30,85,,,How Does Your Credit Grow 30,Doomsday Preppers,Documentary / reality,Live,National,,33523361
ANIMAL PLANET,7/17/2021 21:43,:30,127.5,25.5,5,How Does Your Credit Grow 30,Crikey! It's the Irwins: Extra Bites,action/adventure / animals / Documentary / family / nature / reality / Travel / wildlife,Dual,National,LOC,33518177
WEATHER CHANNEL,7/17/2021 21:52,:30,72.25,11.6,6.228448276,Open Sesame 30,Weird Earth,Documentary / environment,Live,National,LOC,33518191
QUEST,7/17/2021 22:15,:30,85,,,Open Sesame 30,Doomsday Preppers,Documentary / reality,Live,National,,33523362
TURNER NETWORK TELEVISION,7/17/2021 23:09,:30,7650,91,84.06593407,Open Sesame 30,Animal Kingdom,crime drama / drugs / family issues / organized crime,Dual,National,,33518147
ADULT SWIM,7/19/2021 1:29,:30,170,41.6,4.086538462,Open Sesame 30,Adult Swim,Animation,Live,National,LOC,33529283
HOME & GARDEN TELEVISION,7/18/2021 7:42,:30,595,15.8,37.65822785,Open Sesame 30,Good Bones,advice / architecture / construction / home & garden / home projects / how-to / real estate / reality,Dual,National,LOC,33518199
HOME & GARDEN TELEVISION,7/18/2021 9:17,:30,595,21.8,27.29357798,How Does Your Credit Grow 30,Good Bones,advice / architecture / construction / home & garden / home projects / how-to / real estate / reality,Dual,National,LOC,33518197
TBD NETWORK,7/18/2021 11:09,:30,106.25,3,35.41666667,Open Sesame 30,,,Dual,National,,33518213
TBD NETWORK,7/18/2021 11:39,:30,106.25,2,53.125,How Does Your Credit Grow 30,,,Dual,National,,33518216
TBD NETWORK,7/18/2021 12:49,:30,106.25,13,8.173076923,Open Sesame 30,,,Dual,National,,33518214
ARTS & ENTERTAINMENT,7/18/2021 13:16,:30,195.5,12.45,15.70281124,Open Sesame 30,Jonestown: The Women Behind the Massacre,crime / Documentary / history / interview / investigative journalism / Special,Dual,National,LOC,33518176
HOME & GARDEN TELEVISION,7/18/2021 13:44,:30,680,55.4,12.27436823,Open Sesame 30,Home Town,home & garden / home projects / real estate,Dual,National,LOC,33518196
ARTS & ENTERTAINMENT,7/18/2021 14:14,:30,195.5,15.3,12.77777778,How Does Your Credit Grow 30,Warren Jeffs: Prophet of Evil,crime / Documentary / investigative journalism / profile,Dual,National,LOC,33518175
ANIMAL PLANET,7/18/2021 14:39,:30,136,28.8,4.722222222,How Does Your Credit Grow 30,North Woods Law,animals / outdoors / reality,Dual,National,LOC,33518182
HOME & GARDEN TELEVISION,7/18/2021 15:22,:30,680,60.8,11.18421053,How Does Your Credit Grow 30,Home Town,home & garden / home projects / real estate,Dual,National,LOC,33518195
TBD NETWORK,7/18/2021 16:20,:30,106.25,16,6.640625,How Does Your Credit Grow 30,,,Dual,National,,33518217
TBD NETWORK,7/18/2021 17:21,:30,106.25,15,7.083333333,Open Sesame 30,,,Dual,National,,33518215
Court TV Mystery,7/18/2021 20:05,:30,170,86,1.976744186,Open Sesame 30,CSI: Miami,crime drama / drama / spin-off,Live,National,,33518159
FX MOVIE CHANNEL,7/18/2021 20:20,:30,433.5,21,20.64285714,How Does Your Credit Grow 30,X-Men: Days of Future Past,action/adventure / fantasy / other / sci-fi / sequel,Dual,National,,33518185
ADULT SWIM,7/18/2021 20:58,:30,340,36.8,9.239130435,How Does Your Credit Grow 30,Adult Swim,Animation,Live,National,LOC,33518164
OWN: OPRAH WINFREY NETWORK,7/18/2021 21:13,:30,144.5,10.5,13.76190476,Open Sesame 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33518162
ANIMAL PLANET,7/18/2021 21:40,:30,127.5,54.3,2.348066298,Open Sesame 30,North Woods Law,animals / crime / outdoors / reality,Dual,National,LOC,33518180
TBD NETWORK,7/18/2021 21:51,:30,0,19,0,How Does Your Credit Grow 30,,,Dual,National,,33518221
OWN: OPRAH WINFREY NETWORK,7/18/2021 22:13,:30,144.5,21.3,6.784037559,How Does Your Credit Grow 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33518160
ANIMAL PLANET,7/18/2021 22:15,:30,127.5,35.4,3.601694915,How Does Your Credit Grow 30,North Woods Law,animals / outdoors / reality,Dual,National,LOC,33518178
FX MOVIE CHANNEL,7/18/2021 22:37,:30,433.5,29,14.94827586,Open Sesame 30,X-Men: Days of Future Past,action/adventure / fantasy / other / sci-fi / sequel,Dual,National,,33518186
CNN,7/18/2021 22:42,:30,1530,225,6.8,How Does Your Credit Grow 30,Jerusalem,Documentary / history / local cultures,Live,National,,33518150
AMERICAN MOVIE CLASSICS,7/18/2021 22:42,:30,153,8.4,18.21428571,Open Sesame 30,A Discovery of Witches,adaptation / drama / fantasy / Romance / season copy / web content,Dual,National,LOC,33518155
OWN: OPRAH WINFREY NETWORK,7/18/2021 23:28,:30,144.5,9.6,15.05208333,Open Sesame 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33518163
