Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
DISCOVERY CHANNEL,6/29/2021 22:50,:30,255,30.4,8.388157895,Open Sesame 30,Deadliest Catch,environment / fishing / nature / outdoors / reality / season copy / Weather,Dual,National,LOC,33364606
WEATHER CHANNEL,6/29/2021 22:53,:30,72.25,10.8,6.689814815,Open Sesame 30,Heavy Rescue: 401,auto info / drama / environment / outdoors / reality / rescue,Live,National,LOC,33364612
OWN: OPRAH WINFREY NETWORK,6/29/2021 23:06,:30,144.5,23.7,6.097046414,How Does Your Credit Grow 30,The Haves and the Have Nots,adaptation / drama / family issues / season copy / wealth,Dual,National,LOC,33364604
QUEST,6/29/2021 23:35,:30,85,,,How Does Your Credit Grow 30,Doomsday Preppers,Documentary / reality,Live,National,,33362059
INDEPENDENT FILM CHANNEL,7/1/2021 0:44,:30,144.5,16,9.03125,How Does Your Credit Grow 30,Anchorman: The Legend of Ron Burgundy,Comedy / feminism / modernized copy,Dual,National,LOC,33382106
DIRECTV SPORTS CLUSTER,7/1/2021 0:45,:30,765,203.6,3.757367387,How Does Your Credit Grow 30,,,Live,National,,33382110
WEATHER CHANNEL,7/1/2021 2:21,:30,0,11.6,0,How Does Your Credit Grow 30,Weather Gone Viral,Documentary / internet / Weather,Live,National,LOC,33382109
ARTS & ENTERTAINMENT,7/1/2021 3:46,:30,0,56,0,How Does Your Credit Grow 30,Court Cam Presents Under Oath,crime / reality,Dual,National,,33382134
FOX NEWS CHANNEL,6/30/2021 7:18,:30,403.75,29,13.92241379,Open Sesame 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33372720
WEATHER CHANNEL,6/30/2021 10:46,:30,63.75,6.4,9.9609375,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33372721
WEATHER CHANNEL,6/30/2021 15:17,:30,42.5,4,10.625,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33372724
WE TV,6/30/2021 16:35,:30,157.25,21.6,7.280092593,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33372718
WE TV,6/30/2021 17:15,:30,157.25,25.6,6.142578125,How Does Your Credit Grow 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33372717
QUEST,6/30/2021 19:54,:30,85,,,Open Sesame 30,Ice Road Truckers,action/adventure / entertainment / environment / nature / outdoors / reality / suspense/thriller / wealth / Weather,Live,National,,33372868
QUEST,6/30/2021 21:14,:30,85,,,How Does Your Credit Grow 30,Yukon Gold,outdoors / reality,Live,National,,33372867
DISCOVERY CHANNEL,6/30/2021 21:25,:30,255,35.6,7.162921348,Open Sesame 30,Discovery Channel Programming,generic source record / other / to be announced,Dual,National,LOC,33372713
Court TV Mystery,6/30/2021 22:25,:30,170,62,2.741935484,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Live,National,,33372710
DISCOVERY CHANNEL,6/30/2021 22:27,:30,255,32.4,7.87037037,How Does Your Credit Grow 30,Discovery Channel Programming,generic source record / other / to be announced,Dual,National,LOC,33372712
QUEST,6/30/2021 22:52,:30,85,,,Open Sesame 30,Doomsday Preppers,Documentary / reality,Live,National,,33372869
WEATHER CHANNEL,6/30/2021 23:18,:30,72.25,12,6.020833333,How Does Your Credit Grow 30,Jade Fever,Documentary / environment / nature / reality,Live,National,LOC,33372722
Court TV Mystery,6/30/2021 23:22,:30,170,74,2.297297297,Open Sesame 30,The First 48,crime / Documentary / police,Live,National,,33372711
DISCOVERY CHANNEL,6/30/2021 23:34,:30,255,18.4,13.85869565,Open Sesame 30,Expedition Unknown,action/adventure / Documentary / educational / history / mystery & suspense / reality / Travel,Dual,National,LOC,33372714
WE TV,6/30/2021 23:38,:30,212.5,42,5.05952381,Open Sesame 30,Law & Order,action/adventure / courtroom / crime drama / drama / legal / police / season copy / suspense/thriller / troubled relationships / workplace,Dual,National,LOC,33372719
ARTS & ENTERTAINMENT,6/30/2021 23:46,:30,365.5,13.35,27.37827715,How Does Your Credit Grow 30,Court Cam Presents Under Oath,crime / reality,Dual,National,LOC,33372716
DIRECTV SPORTS CLUSTER,7/2/2021 0:46,:30,765,34.2,22.36842105,Open Sesame 30,,,Live,National,,33402875
INDEPENDENT FILM CHANNEL,7/2/2021 0:56,:30,144.5,49,2.948979592,How Does Your Credit Grow 30,Two and a Half Men,Comedy / dating / divorce / family / satire / season copy / Sitcom / troubled relationships,Dual,National,LOC,33402863
ARTS & ENTERTAINMENT,7/2/2021 2:14,:30,0,120,0,Open Sesame 30,The First 48: Rookie Year,crime / Documentary / police,Dual,National,,33402887
FOX NEWS CHANNEL,7/1/2021 6:50,:30,403.75,40.2,10.04353234,How Does Your Credit Grow 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33382105
WEATHER CHANNEL,7/1/2021 9:47,:30,63.75,7.6,8.388157895,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33382108
INDEPENDENT FILM CHANNEL,7/1/2021 18:26,:30,144.5,19,7.605263158,Open Sesame 30,Three's Company,Comedy / Sitcom,Dual,National,LOC,33382107
QUEST,7/1/2021 18:37,:30,85,,,How Does Your Credit Grow 30,Ice Road Truckers,action/adventure / entertainment / environment / nature / outdoors / reality / suspense/thriller / Weather,Live,National,,33415488
OWN: OPRAH WINFREY NETWORK,7/1/2021 21:25,:30,144.5,13.2,10.9469697,Open Sesame 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33382103
ARTS & ENTERTAINMENT,7/1/2021 22:11,:30,365.5,35.85,10.19525802,Open Sesame 30,The First 48: Rookie Year,crime / Documentary / police,Dual,National,LOC,33382104
OWN: OPRAH WINFREY NETWORK,7/1/2021 22:27,:30,144.5,10.5,13.76190476,How Does Your Credit Grow 30,20/20 on OWN,crime / investigative journalism / newsmagazine,Dual,National,LOC,33382102
Court TV Mystery,7/1/2021 23:52,:30,170,66,2.575757576,How Does Your Credit Grow 30,CSI: Miami,crime drama / drama / Politics / spin-off,Live,National,,33382101
ARTS & ENTERTAINMENT,7/3/2021 0:45,:30,0,142,0,How Does Your Credit Grow 30,The First 48,crime / Documentary / police,Dual,National,,33402886
FOX NEWS CHANNEL,7/2/2021 6:51,:30,403.75,32.8,12.30945122,Open Sesame 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33402862
WEATHER CHANNEL,7/2/2021 7:45,:30,63.75,11.6,5.495689655,Open Sesame 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33402864
WEATHER CHANNEL,7/2/2021 12:17,:30,42.5,19.2,2.213541667,How Does Your Credit Grow 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33402868
WEATHER CHANNEL,7/2/2021 14:46,:30,42.5,12.8,3.3203125,Open Sesame 30,The Weather Channel LIVE,other / Weather,Live,National,LOC,33402869
